name,ratings,reviews,type_locations,salaries,interviews,jobs,benefits
Kiya.ai,3.7,(551),IT Services & Consulting | Mumbai +18 other locations,4.2k,51,143,27
The Saraswat Co-operative Bank,3.2,(550),Banking | Mumbai +34 other locations,2.8k,25,2,25
General Motors,4.1,(550),Automobile | Pune +36 other locations,2.1k,34,2,86
Paras Dairy,3.5,(550),Food Processing | New Delhi +59 other locations,1.6k,27,1,50
Western Refrigeration,3.8,(550),Industrial Machinery | Vapi +40 other locations,2.2k,40,7,37
Gayatri Projects,3.9,(549),Engineering & Construction | Hyderabad / Secunderabad +71 other locations,1.8k,39,7,78
HUDL,3.2,(549),Software Product | Mumbai +17 other locations,1.8k,62,1,30
HashedIn by Deloitte,4.0,(548),IT Services & Consulting | Bangalore / Bengaluru +16 other locations,5.1k,136,2,44
DB Schenker,4.3,(549),Logistics | Gurgaon / Gurugram +40 other locations,2.2k,23,--,48
Renault,4.1,(548),Automobile | Chennai +147 other locations,1.8k,31,--,47
Maxop Engineering Co.,4.1,(548),Auto Components | Gurgaon / Gurugram +15 other locations,2.3k,44,8,30
Iron Mountain Inc,3.8,(547),IT Services & Consulting | Bangalore / Bengaluru +48 other locations,2.9k,30,7,48
Alcon,3.8,(547),Medical Equipment | Bangalore / Bengaluru +38 other locations,2.8k,42,54,44
Inox Wind,3.8,(547),Power | Noida +41 other locations,1.8k,47,--,69
Congruex Asia Pacific,3.7,(547),Engineering & Construction | Mohali +24 other locations,2.1k,66,3,38
Navin Fluorine International,3.8,(546),Chemicals | Surat +17 other locations,2.6k,28,5,44
BUSINESSNEXT,3.5,(546),Software Product | Noida +9 other locations,3.8k,74,6,21
Vyapar,3.6,(547),Software Product | Bangalore / Bengaluru +39 other locations,2k,70,133,37
Dhani Healthcare,3.5,(545),FinTech | Gurgaon / Gurugram +81 other locations,2.3k,59,--,55
Marelli,3.6,(545),Auto Components | Gurgaon / Gurugram +18 other locations,2.7k,43,1,68
ArcelorMittal,4.1,(545),Iron & Steel | Surat +49 other locations,2.7k,38,9,23
Kellogg Brown and Root,4.1,(545),Engineering & Construction | Chennai +36 other locations,2.2k,40,96,50
Unimoni,3.9,(545),FinTech | Chennai +134 other locations,2k,18,2,26
RAK Ceramics,3.8,(545),Building Material | Kakinada +59 other locations,1.7k,32,2,48
Andritz Hydro Location India,3.8,(546),Chennai +28 other locations,2.6k,33,3,42
Bharti Infratel,4.6,(544),Telecom | Gurgaon / Gurugram +71 other locations,1.1k,6,--,73
Practo,3.0,(544),Internet | Bangalore / Bengaluru +24 other locations,3k,79,51,63
Harman Finochem,3.6,(545),Pharma | Aurangabad +15 other locations,2.8k,42,10,32
L & W Constructions,3.9,(544),Engineering & Construction | Bangalore / Bengaluru +19 other locations,1.8k,27,--,42
UTL Solar,3.6,(543),Electronics Manufacturing | New Delhi +74 other locations,1.7k,58,60,27
RMC Readymix,3.7,(543),Building Material | Mumbai +67 other locations,1.4k,42,5,54
Mahendra NextWealth IT,3.4,(543),IT Services & Consulting | Salem +25 other locations,1.8k,25,7,16
Utility Powertech,3.8,(543),Power | New Delhi +92 other locations,1.7k,30,--,36
Paramount Health Services Tpa,3.8,(543),Insurance | Mumbai +38 other locations,2.3k,34,21,37
Mr Cooper,4.0,(544),Financial Services | Chennai +11 other locations,3.2k,106,15,33
Country Delight,3.8,(543),Food Processing | Gurgaon / Gurugram +35 other locations,2.3k,40,2,11
MITS Global Consulting,4.6,(543),Recruitment | Mumbai +12 other locations,862,39,--,104
Kauvery Hospital,4.0,(543),Healthcare | Chennai +21 other locations,2.1k,34,27,19
Innominds Software,3.3,(542),IT Services & Consulting | Hyderabad / Secunderabad +7 other locations,4.5k,48,25,31
Kirloskar Pneumatic,4.0,(543),Industrial Machinery | Pune +19 other locations,2.5k,36,2,42
Prestige Group,4.3,(542),Real Estate | Bangalore / Bengaluru +30 other locations,2.5k,44,4,52
Telenor,4.1,(541),Telecom | Gurgaon / Gurugram +116 other locations,580,9,--,106
Carlsberg,4.0,(541),Beverage | Gurgaon / Gurugram +66 other locations,1.8k,35,4,57
Sandoz,4.0,(542),Pharma | Hyderabad / Secunderabad +20 other locations,2.3k,24,6,46
"DATAMARK, Inc.",3.5,(540),BPO | Chennai +13 other locations,1.6k,32,45,46
Vestige,4.2,(540),Fitness & Wellness | New Delhi +112 other locations,1.4k,40,--,80
Maini Precision Products,3.4,(540),Auto Components | Bangalore / Bengaluru +11 other locations,2.8k,40,16,39
QSpiders,3.7,(541),Education & Training | Bangalore / Bengaluru +26 other locations,1.7k,93,105,19
FiveS Digital,3.4,(539),BPO | Jamshedpur +27 other locations,1.4k,53,5,5
Cpf India,4.0,(539),Food Processing | Bangalore / Bengaluru +58 other locations,1.6k,25,--,60
Enco Engineers Combine,3.7,(540),Auto Components | Gurgaon / Gurugram +17 other locations,1.5k,33,--,39
SIS Prosegur Holdings,3.4,(539),Law Enforcement & Security | New Delhi +89 other locations,1.4k,17,6,42
Virtual Employee,3.3,(539),Recruitment | Noida +22 other locations,3.1k,51,1,52
CTS Consulting & Technical Support,3.7,(538),Engineering & Construction | Chennai +31 other locations,6.8k,172,--,72
Laxmi Organic Industries,3.9,(538),Chemicals | Mahad +19 other locations,1.9k,42,6,46
Laxmi Organic Industries,3.9,(538),Chemicals | Mahad +19 other locations,1.9k,42,6,46
Offshore Infrastructures,4.2,(538),Engineering & Construction | Mumbai +51 other locations,1.7k,21,--,60
The Times of India,3.6,(537),Media & Entertainment | New Delhi +53 other locations,2.8k,42,--,53
CompuCom,3.8,(537),IT Services & Consulting | Pune +7 other locations,3.1k,37,5,60
Wow Momo Foods,3.5,(537),Hospitality | Kolkata +51 other locations,1.8k,46,1,20
Hi Tech Gears,4.0,(538),Auto Components | Bhiwadi +29 other locations,2.1k,29,--,63
BLK Super Speciality Hospital,3.9,(537),Healthcare | New Delhi +15 other locations,1.5k,33,--,38
Datamatics Business Solutions,3.4,(537),Management Consulting | Mumbai +12 other locations,2.4k,45,19,29
Medlife,3.7,(536),Internet | Bangalore / Bengaluru +28 other locations,2k,27,--,60
Roop Polymers,4.0,(536),Auto Components | Gurgaon / Gurugram +25 other locations,1.8k,29,--,41
MAQ Software,2.8,(536),IT Services & Consulting | Noida +10 other locations,3.7k,142,--,26
Avaada Group,4.2,(537),Power | Noida +65 other locations,2.1k,49,1,34
Yokohama,3.7,(536),Auto Components | Bahadurgarh +43 other locations,2k,25,--,60
Craftsman Automation,3.8,(536),Auto Components | Coimbatore +25 other locations,2.3k,23,--,58
RadiSys,3.8,(535),Telecom | Bangalore / Bengaluru +11 other locations,2.4k,49,--,54
Eicher Motors,4.1,(535),Automobile | Indore +95 other locations,1.5k,41,--,43
S P Singla Constructions,3.5,(533),Engineering & Construction | Patna +62 other locations,1.6k,37,--,39
Fenesta Building Systems,4.0,(533),Building Material | Gurgaon / Gurugram +71 other locations,1.8k,35,19,38
Sulzer,3.9,(534),Industrial Machinery | Pune +25 other locations,2.6k,35,4,60
Stock Holding Corporation of India,3.6,(532),Financial Services | Mumbai +100 other locations,1.6k,34,--,43
Infiniti Research,3.4,(533),Bangalore / Bengaluru +8 other locations,1.7k,37,11,68
Infinity Learn,4.1,(533),EdTech | Hyderabad / Secunderabad +17 other locations,1.8k,80,50,6
AM Infoweb,3.9,(532),BPO | Pune +8 other locations,1.3k,86,38,47
Titan Engineering & Automation,3.8,(532),Engineering & Construction | Hosur +16 other locations,2.6k,36,6,35
Ambit Finvest,4.0,(531),NBFC | Mumbai +106 other locations,1.8k,24,5,14
Maxgen Technologies,4.5,(531),IT Services & Consulting | Pune +8 other locations,1.1k,14,--,114
Systra Consulting,3.9,(531),Engineering & Construction | New Delhi +40 other locations,1.6k,36,151,57
House Of Anita Dongre,4.2,(530),Fashion & Textile | Mumbai +47 other locations,1.5k,18,3,60
DM Immigration Consultant,1.0,(530),Other | Bangalore / Bengaluru +3 other locations,28,--,--,--
GSPANN Technologies,4.1,(530),IT Services & Consulting | Hyderabad / Secunderabad +9 other locations,3.4k,46,58,32
Bharat Fritz Werner,3.9,(530),Industrial Machinery | Bangalore / Bengaluru +18 other locations,2.3k,32,11,47
LendingKart,3.5,(530),NBFC | Ahmedabad +44 other locations,2.6k,37,6,22
Kidzee,3.9,(529),EdTech | Kolkata +116 other locations,1.2k,24,--,42
Zolo,3.3,(530),Internet | Bangalore / Bengaluru +24 other locations,2.1k,58,17,36
Jaipur Rugs,4.3,(528),Fashion & Textile | Jaipur +20 other locations,825,54,15,20
Tracxn,2.8,(528),Internet | Bangalore / Bengaluru +11 other locations,2.4k,111,57,36
Wellness Forever Medicare,3.8,(528),Retail | Mumbai +41 other locations,1.7k,55,3,36
Groupm Media,3.7,(529),Marketing & Advertising | Gurgaon / Gurugram +27 other locations,3.8k,38,2,35
Castrol,4.3,(528),Petrochemicals | Mumbai +120 other locations,1.9k,23,--,48
Capital Business Systems,3.6,(527),IT Services & Consulting | New Delhi +111 other locations,1.5k,32,20,5
Macawber Beekay,4.2,(527),Industrial Machinery | Noida +58 other locations,1.6k,21,14,62
Dusters Total Solutions Services,3.9,(526),Facility Management Services | Bangalore / Bengaluru +61 other locations,1.6k,20,2,42
Fena,4.1,(526),FMCG | New Delhi +84 other locations,1.4k,29,1,43
Micron Electricals,4.1,(526),Engineering & Construction | Bangalore / Bengaluru +18 other locations,2.3k,37,2,26
OMICS International,2.5,(524),Printing & Publishing | Hyderabad / Secunderabad +6 other locations,1.8k,25,--,60
Quikr,3.5,(524),Internet | Bangalore / Bengaluru +24 other locations,2.2k,33,10,57
Welspun Enterprises,4.1,(524),Engineering & Construction | Mumbai +49 other locations,1.7k,51,--,37
Reliance Life Sciences,3.6,(524),Clinical Research | Mumbai +34 other locations,2.6k,29,--,56
CDK Global,3.8,(524),IT Services & Consulting | Hyderabad / Secunderabad +7 other locations,3.4k,40,32,69
Canon,3.9,(524),Consumer Electronics & Appliances | Gurgaon / Gurugram +65 other locations,1.9k,22,6,61
Vimta Labs,3.4,(523),Clinical Research | Hyderabad / Secunderabad +29 other locations,2.1k,39,9,54
Anudip Foundation,3.7,(523),Non-Profit | Kolkata +62 other locations,1.2k,159,19,37
Celebi Aviation Holding,3.9,(523),Aviation | Mumbai +15 other locations,917,30,--,1
Ziqitza Health Care,3.8,(522),Healthcare | Mumbai +60 other locations,1.2k,25,--,71
Scaler Academy,3.4,(522),EdTech | Bangalore / Bengaluru +8 other locations,2.4k,87,10,83
FMC Corporation,3.9,(522),Agro Chemicals | Bharuch +116 other locations,1.7k,39,1,47
Tradeshala,4.5,(522),Education & Training | Bangalore / Bengaluru +8 other locations,34,118,--,7
Karvy Data Management Services,4.0,(521),Analytics & KPO | Hyderabad / Secunderabad +81 other locations,2.2k,17,--,125
Sterling,4.0,(521),Healthcare | Mumbai +63 other locations,1k,34,--,61
Allianz Partners,3.7,(521),Insurance | Gurgaon / Gurugram +18 other locations,2.5k,38,--,31
C5i,4.0,(522),Analytics & KPO | Bangalore / Bengaluru +16 other locations,2.8k,54,19,33
Allianz Partners,3.7,(521),Insurance | Gurgaon / Gurugram +18 other locations,2.5k,38,--,31
DFM Foods,4.0,(521),FMCG | New Delhi +78 other locations,1.6k,36,9,38
N.C.L. Industries,3.7,(520),Building Material | Hyderabad / Secunderabad +69 other locations,1.6k,38,2,38
Chaayos,3.4,(521),Retail | New Delhi +22 other locations,1.6k,37,12,53
Foray Software,3.4,(520),IT Services & Consulting | Hyderabad / Secunderabad +17 other locations,3.5k,39,32,24
Hitachi Cash Management Services,3.3,(520),Other | Mumbai +94 other locations,1.2k,37,6,32
Emaar India Limited,3.6,(520),Real Estate | Gurgaon / Gurugram +18 other locations,2.4k,27,--,40
Mecon,3.9,(520),Metals & Mining | Ranchi +49 other locations,1.6k,44,--,35
Ge India Industrial,4.1,(520),Industrial Machinery | Pune +23 other locations,2k,19,--,21
V.S.T Tillers Tractors,3.5,(519),Industrial Machinery | Bangalore / Bengaluru +56 other locations,1.8k,40,7,36
Legrand,3.7,(520),Electrical Equipment | Mumbai +58 other locations,2.2k,25,--,42
Satyam Auto Components,3.9,(519),Auto Components | Gurgaon / Gurugram +27 other locations,2.2k,34,--,40
Uttar Pradesh Power Corporation,4.0,(519),Power | Lucknow +89 other locations,1.3k,10,--,38
Wockhardt Hospital,4.0,(519),Healthcare | Mumbai +27 other locations,1.6k,22,22,61
Vivanta by Taj,4.2,(518),Hospitality | New Delhi +48 other locations,996,27,--,75
ExxonMobil,3.8,(518),Oil & Gas | Bangalore / Bengaluru +38 other locations,3.7k,80,403,57
ACTE,4.7,(517),Education & Training | Chennai +10 other locations,107,9,--,173
Ralson Tyres Limited,3.6,(517),Auto Components | Ludhiana +52 other locations,2k,43,7,30
Zycus Infotech,2.7,(517),Software Product | Mumbai +9 other locations,3.2k,76,90,49
Magma General Insurance Limited,3.7,(517),Insurance | Mumbai +87 other locations,2.2k,32,62,34
Bharat Gears,4.0,(516),Auto Components | Faridabad +23 other locations,2k,26,--,43
Vishwa Samudra Engineering,3.6,(527),Engineering & Construction | Hyderabad / Secunderabad +42 other locations,1.5k,32,--,11
5paisa Capital Ltd.,4.1,(516),Financial Services | Mumbai +9 other locations,1.6k,45,9,65
ATS Infrastructure,4.1,(516),Real Estate | Noida +13 other locations,1.8k,32,--,59
Pitti Engineering,3.8,(515),Industrial Machinery | Hyderabad / Secunderabad +13 other locations,1.9k,27,--,48
BOBCARD Ltd.,4.2,(515),NBFC | Mumbai +105 other locations,1.3k,29,50,18
Amar Ujala,3.9,(514),Printing & Publishing | Noida +54 other locations,1.7k,20,5,48
My Home Constructions,4.3,(514),Real Estate | Hyderabad / Secunderabad +18 other locations,2.1k,34,8,29
AML RightSource,2.7,(525),IT Services & Consulting | New Delhi +9 other locations,2.8k,53,44,8
JK Tech,3.7,(514),IT Services & Consulting | Bangalore / Bengaluru +20 other locations,3.3k,36,2,30
Propertypistol Realty,3.6,(515),Internet | Mumbai +25 other locations,2k,67,26,17
Suprajit Engineering,3.9,(513),Auto Components | Bangalore / Bengaluru +38 other locations,2.3k,36,8,52
Vakrangee,3.8,(513),BPO | Mumbai +91 other locations,1.1k,9,--,66
Brigade Group,4.1,(513),Real Estate | Bangalore / Bengaluru +11 other locations,2.5k,42,14,39
GUS Education India,3.1,(513),Education & Training | Hyderabad / Secunderabad +8 other locations,2.1k,48,16,17
Hero Cycles,3.3,(513),Automobile | Ludhiana +50 other locations,1.8k,50,1,36
Regalix,2.8,(513),Marketing & Advertising | Hyderabad / Secunderabad +7 other locations,2.8k,56,39,45
Metalman Auto,3.9,(513),Auto Components | Aurangabad +23 other locations,1.9k,24,2,34
Coats,3.7,(513),Fashion & Textile | Bangalore / Bengaluru +55 other locations,1.8k,25,41,46
Aptus Value Housing Finance India,4.2,(512),NBFC | Chennai +151 other locations,1.3k,18,11,33
Nivea,4.1,(512),Beauty & Personal Care | Mumbai +70 other locations,1.7k,28,22,49
Metro Group of Hospitals,3.8,(513),Healthcare | New Delhi +32 other locations,1.3k,15,54,3
Hafele,4.0,(511),Furniture & Furnishing | Mumbai +45 other locations,2.1k,29,3,62
Williams Lea,3.6,(510),BPO | Chennai +18 other locations,3.1k,48,13,38
Indecomm Global Services,3.9,(510),IT Services & Consulting | Bangalore / Bengaluru +13 other locations,2.6k,28,20,46
Centum Learning,3.7,(510),Education & Training | New Delhi +81 other locations,1.4k,26,5,64
Vidal Health Insurance,3.7,(510),Insurance | Bangalore / Bengaluru +37 other locations,1.8k,21,--,11
Hindusthan National Glass,3.7,(509),Packaging | Kolkata +23 other locations,2k,33,--,39
PEGATRON,3.9,(509),Electronics Manufacturing | Chennai +13 other locations,2.1k,29,--,1
RSB Transmissions,3.9,(509),Auto Components | Pune +23 other locations,2k,34,--,40
Metriqe Solutions,3.9,(509),BPO | Chennai +5 other locations,1.3k,25,7,25
Chemplast Sanmar,3.5,(508),Chemicals | Salem +19 other locations,2.3k,45,40,32
Poorvika Mobiles,3.9,(508),Retail | Chennai +62 other locations,1.7k,31,1,32
CARE,4.3,(507),Non-Profit | Patna +114 other locations,1.2k,41,1,77
NMDC Limited,4.2,(506),Metals & Mining | Jagdalpur +41 other locations,1.9k,42,--,16
F1 Info Solutions and Services,3.7,(506),IT Services & Consulting | Noida +46 other locations,1.2k,25,--,38
MUTHOOT HOMEFIN (I) LTD.,3.9,(505),NBFC | Mumbai +105 other locations,1.3k,30,2,11
Cairn Energy,3.6,(505),Oil & Gas | Barmer +31 other locations,2.9k,33,--,62
Galaxy Surfactants,3.9,(504),Chemicals | Mumbai +25 other locations,1.9k,28,10,58
Macquarie Group,3.2,(504),Financial Services | Gurgaon / Gurugram +17 other locations,4.5k,48,45,48
Haldiram Snacks,3.9,(504),Food Processing | Noida +65 other locations,1.7k,15,19,1
LearningMate Solutions,3.0,(504),EdTech | Mumbai +12 other locations,3.6k,47,16,46
Cuemath,3.6,(503),EdTech | Bangalore / Bengaluru +22 other locations,1.9k,49,31,86
Pace Setters Business Solutions,3.4,(503),BPO | Mumbai +24 other locations,1.2k,23,2,43
Webskitters,3.9,(503),IT Services & Consulting | Kolkata +4 other locations,807,19,8,109
Spectrum Talent Management,3.6,(503),Recruitment | Noida +84 other locations,1.9k,34,--,25
Mobile Programming,2.9,(502),IT Services & Consulting | Bangalore / Bengaluru +23 other locations,3.6k,79,142,14
BharatMatrimony.com,3.9,(502),Internet | Chennai +31 other locations,1.4k,23,--,29
AT&T,3.9,(502),Telecom | Bangalore / Bengaluru +18 other locations,4.4k,65,70,58
Sanmina Sci,4.2,(502),Electronics Manufacturing | Chennai +15 other locations,2.6k,33,30,47
Mobikwik,3.5,(501),FinTech | Gurgaon / Gurugram +46 other locations,2.4k,60,27,27
CMR Green Technologies,3.5,(500),Metals & Mining | Faridabad +34 other locations,1.6k,51,23,54
Lotus Herbals Private Limited,4.1,(500),Beauty & Personal Care | New Delhi +73 other locations,1.4k,45,6,24
FinThrive,3.5,(500),Analytics & KPO | Chennai +8 other locations,1.5k,21,1,9
OutworX,3.5,(500),IT Services & Consulting | Pune +41 other locations,2.1k,35,--,11
Future Lifestyle Fashion,4.2,(499),Retail | Bangalore / Bengaluru +63 other locations,1.6k,8,--,81
QHTalbros,3.7,(499),Auto Components | Gurgaon / Gurugram +26 other locations,1.4k,18,--,50
Safari Industries India,4.0,(500),Retail | Mumbai +77 other locations,1.7k,33,7,31
Kokilaben Dhirubhai Ambani Hospital,3.7,(499),Healthcare | Mumbai +20 other locations,1.7k,28,56,35
Ministry of Defence,4.3,(499),Government | New Delhi +75 other locations,1.8k,17,--,60
Nelito System,3.3,(498),IT Services & Consulting | Mumbai +42 other locations,2.4k,30,23,41
Saud Bahwan Group,3.6,(497),Automobile | Muscat +26 other locations,996,13,--,69
HealthifyMe,2.7,(497),Internet | Bangalore / Bengaluru +18 other locations,1.6k,51,--,26
Voltech,3.4,(497),Electrical Equipment | Chennai +44 other locations,1.6k,33,--,59
Morepen Laboratories,3.9,(497),Pharma | New Delhi +46 other locations,1.8k,24,55,39
TÜV Rheinland,4.1,(497),Other | Bangalore / Bengaluru +69 other locations,1.8k,20,2,38
Varuna Integrated Logistics,3.8,(496),Logistics | Gurgaon / Gurugram +54 other locations,1.6k,36,2,39
Adda 247,3.7,(497),EdTech | Gurgaon / Gurugram +22 other locations,1.8k,74,20,11
Hamdard,4.0,(496),FMCG | New Delhi +75 other locations,1.4k,42,1,29
Premier Energies,4.0,(496),Electronics Manufacturing | Hyderabad / Secunderabad +24 other locations,1.9k,36,2,25
IKF Finance,4.0,(496),NBFC | Hyderabad / Secunderabad +125 other locations,1.3k,24,3,17
Dr. Agarwal's Eye Hospital,3.8,(496),Healthcare | Chennai +80 other locations,1.6k,37,58,33
Deloitte Digital,3.8,(496),IT Services & Consulting | Bangalore / Bengaluru +27 other locations,3k,60,--,57
Pepperfry,3.2,(495),Furniture & Furnishing | Mumbai +38 other locations,2k,34,5,44
RapiPay,3.6,(495),FinTech | Noida +107 other locations,1.6k,37,6,22
Emerson Electric Co.,3.9,(495),IT Services & Consulting | Pune +24 other locations,3.1k,56,262,36
Go First,3.9,(495),Aviation | Mumbai +34 other locations,2k,50,--,41
Great Learning,3.5,(495),EdTech | Bangalore / Bengaluru +12 other locations,3.6k,68,28,36
Hi Tech Projects,4.6,(495),Engineering & Construction | Ahmedabad +8 other locations,648,52,--,15
Securitas,3.8,(495),Law Enforcement & Security | Gurgaon / Gurugram +44 other locations,1.9k,36,6,42
Rakuten,3.5,(495),IT Services & Consulting | Bangalore / Bengaluru +11 other locations,5.1k,95,16,47
Techwave Consulting,3.7,(495),IT Services & Consulting | Hyderabad / Secunderabad +5 other locations,3.6k,41,10,21
Bira 91,3.3,(493),Beverage | New Delhi +57 other locations,1.6k,27,--,12
Muthoottu Mini Financiers,3.5,(493),NBFC | Bangalore / Bengaluru +98 other locations,1.3k,26,18,13
Pierian Services,3.4,(492),Management Consulting | Bangalore / Bengaluru +19 other locations,2.6k,38,44,22
BrightCHAMPS,3.9,(495),EdTech | Bangalore / Bengaluru +28 other locations,1.1k,74,10,43
Alight Solutions,3.4,(492),IT Services & Consulting | Gurgaon / Gurugram +14 other locations,2.6k,30,5,50
BKT Tyres,4.2,(492),Auto Components | Bhuj +32 other locations,1.9k,75,17,33
SunTec Web Services,3.2,(492),BPO | New Delhi +9 other locations,1.8k,50,2,33
ServiceNow,4.0,(493),Software Product | Hyderabad / Secunderabad +15 other locations,5.3k,132,3,15
Sarovar Hotels & Resorts,4.1,(492),Hospitality | New Delhi +70 other locations,1.3k,18,--,62
Tuaman Engineering,4.3,(492),Engineering & Construction | Kolkata +36 other locations,1.5k,67,--,39
Ivrcl Infrastructures & Projects,4.3,(491),Engineering & Construction | Hyderabad / Secunderabad +54 other locations,825,9,16,80
LIC Housing Finance,3.9,(491),NBFC | Mumbai +120 other locations,1.5k,20,4,35
Sheela Foam,3.9,(491),Furniture & Furnishing | Noida +89 other locations,1.4k,30,2,34
HSBC Global Banking and Markets,3.9,(491),Banking | Bangalore / Bengaluru +15 other locations,3.3k,29,--,28
Insuremile,4.8,(491),Internet | Bangalore / Bengaluru +15 other locations,72,78,1,1
Trimax IT Infrastructure Services,3.6,(490),IT Services & Consulting | Mumbai +71 other locations,1.1k,13,--,36
Tractebel,4.1,(490),Engineering & Construction | Gurgaon / Gurugram +88 other locations,1.6k,45,3,37
Innovaccer,3.4,(490),Software Product | Noida +8 other locations,3.3k,91,112,23
RSM India,3.3,(489),Mumbai +35 other locations,2.5k,65,108,20
Indian Bank,3.4,(490),Banking | Chennai +110 other locations,1.9k,26,--,33
India Post,3.7,(490),Government | Bangalore / Bengaluru +190 other locations,1.4k,24,--,49
Tractebel,4.1,(490),Engineering & Construction | Gurgaon / Gurugram +88 other locations,1.6k,45,3,37
Texmo Industries,3.8,(491),Industrial Machinery | Coimbatore +36 other locations,1.6k,26,1,41
Insolutions Global,3.6,(490),FinTech | Mumbai +20 other locations,2.6k,35,8,24
NJ India Invest,3.7,(491),Financial Services | Surat +80 other locations,1k,53,37,62
Value Point Systems,3.5,(489),IT Services & Consulting | Bangalore / Bengaluru +44 other locations,2.2k,29,12,29
Markets and Markets,2.8,(490),Analytics & KPO | Pune +17 other locations,2.7k,61,17,31
Cadbury,4.3,(489),Food Processing | Mumbai +112 other locations,969,27,--,35
Motilal Oswal Wealth Management,4.4,(489),Financial Services | Mumbai +25 other locations,358,37,20,18
Global Autotech,4.0,(489),Auto Components | Greater Noida +16 other locations,2.1k,51,4,43
Kaar Tech,4.0,(489),IT Services & Consulting | Chennai +12 other locations,2k,170,7,10
Atomberg Technologies,3.8,(489),Consumer Electronics & Appliances | Pune +64 other locations,2.3k,37,14,23
Sadbhav Engineering,4.2,(488),Engineering & Construction | Ahmedabad +66 other locations,1.2k,10,--,69
Saksoft,3.5,(488),IT Services & Consulting | Bangalore / Bengaluru +18 other locations,3.3k,46,--,21
Gyan Dairy,4.0,(488),Food Processing | Lucknow +45 other locations,1.3k,45,--,34
Amara Raja Infra,4.0,(488),Engineering & Construction | Hyderabad / Secunderabad +51 other locations,1.4k,53,--,17
Communications Test Design,3.8,(487),IT Services & Consulting | Bangalore / Bengaluru +50 other locations,1.7k,31,25,17
Alchemy Techsol India,3.4,(487),IT Services & Consulting | Bangalore / Bengaluru +19 other locations,2k,89,--,14
African Industries,3.9,(487),Iron & Steel | Lagos +24 other locations,1k,33,19,28
QUICK HEAL TECHNOLOGIES,3.7,(488),Software Product | Pune +45 other locations,2.6k,29,5,53
Communications Test Design,3.8,(487),IT Services & Consulting | Bangalore / Bengaluru +50 other locations,1.7k,31,25,17
Mars International India,4.2,(487),Food Processing | Hyderabad / Secunderabad +84 other locations,1.7k,19,15,50
Rusan Pharma,3.5,(486),Pharma | Dehradun +24 other locations,1.8k,23,10,38
Dalmia Bharat Group,3.9,(486),Building Material | New Delhi +96 other locations,1.9k,34,--,33
2COMS,3.2,(486),Kolkata +49 other locations,1.4k,57,348,26
Maersk Line,4.0,(486),Logistics | Pune +27 other locations,2.4k,33,--,64
Medikabazaar,4.3,(486),Medical Equipment | Mumbai +32 other locations,924,14,3,14
Hitachi Systems,3.9,(486),IT Services & Consulting | Mumbai +38 other locations,2.4k,13,5,3
Think Gas Ludhiana,3.6,(485),Oil & Gas | Chennai +49 other locations,2.2k,49,7,31
Sterling Holiday Resort,3.7,(485),Hospitality | Chennai +66 other locations,1.5k,22,21,60
Kandhari Beverages,3.8,(485),Beverage | Jammu +50 other locations,1.5k,28,2,21
Kalyani Technoforge,3.8,(484),Auto Components | Pune +18 other locations,1.9k,20,8,39
Micron Technology,3.6,(484),Semiconductors | Hyderabad / Secunderabad +16 other locations,4.2k,80,20,30
N+A,3.8,(484),Financial Services | Bangalore / Bengaluru +66 other locations,17.9k,163,2,13
Juniper Networks,4.2,(484),Hardware & Networking | Bangalore / Bengaluru +8 other locations,4.3k,75,1,49
QBurst Technologies,4.2,(484),Software Product | Kochi +16 other locations,4k,85,43,46
Otsuka Pharmaceutical India Private Limited,4.1,(483),Pharma | Ahmedabad +40 other locations,1.5k,27,10,69
Otsuka Pharmaceutical India Private Limited,4.1,(483),Pharma | Ahmedabad +40 other locations,1.5k,27,10,69
TRINAMIX,4.5,(483),IT Services & Consulting | Pune +5 other locations,893,58,41,88
iNurture Education Solutions,2.5,(483),EdTech | Bangalore / Bengaluru +39 other locations,1.4k,45,3,36
Xerox,3.7,(483),Printing & Publishing | Bangalore / Bengaluru +34 other locations,2k,24,1,4
Siemens Healthineers,3.9,(482),Healthcare | Bangalore / Bengaluru +19 other locations,3.9k,67,--,48
Axa XL,3.6,(482),Insurance | Gurgaon / Gurugram +6 other locations,3.5k,50,83,58
Stylebaazar,3.9,(483),Retail | Kolkata +92 other locations,1k,35,20,5
National Commodities Management Services,4.0,(482),Agriculture | Gurgaon / Gurugram +88 other locations,1.4k,16,--,45
Yardi Systems,3.5,(482),Software Product | Pune +2 other locations,2.5k,76,2,40
Par Health,4.1,(481),Pharma | Indore +11 other locations,2k,27,--,5
Hinduja Tech,3.2,(481),IT Services & Consulting | Chennai +17 other locations,3.1k,33,98,25
BharatPe,3.5,(481),FinTech | Gurgaon / Gurugram +78 other locations,2.5k,49,--,17
Kirby Building Systems,4.0,(480),Building Material | Hyderabad / Secunderabad +37 other locations,1.8k,24,2,35
Saudi Binladin Group,4.2,(480),Engineering & Construction | Jeddah +33 other locations,721,33,1,69
Voya India,3.7,(480),Financial Services | Bangalore / Bengaluru +12 other locations,2.8k,29,14,1
Ben Franklin Opticians,3.6,(480),Retail | Hyderabad / Secunderabad +116 other locations,1.2k,27,--,37
SUEZ Group,4.2,(480),Waste Management | New Delhi +48 other locations,1.9k,20,14,41
