name,ratings,reviews,type_locations,salaries,interviews,jobs,benefits
UltraTech Cement,4.1,(9.1k),Building Material | Mumbai +532 other locations,24k,760,22,619
Paytm,3.2,(9.1k),FinTech | Noida +416 other locations,33.6k,870,457,582
Shriram Finance,4.0,(8.9k),NBFC | Chennai +1105 other locations,15.1k,425,9,29
Maruti Suzuki,4.2,(8.8k),Automobile | Gurgaon / Gurugram +445 other locations,27.1k,746,703,977
Bajaj Finance,3.9,(8.8k),NBFC | Pune +959 other locations,22.6k,407,4.2k,502
Sutherland Global Services,3.4,(8.7k),BPO | Chennai +81 other locations,34.1k,766,312,901
Equitas Small Finance Bank,4.4,(8.5k),Banking | Chennai +472 other locations,13.1k,759,21,397
EXL Service,3.6,(8.5k),Analytics & KPO | Noida +63 other locations,44k,878,1.5k,799
Cipla,4.1,(8.4k),Pharma | Mumbai +290 other locations,25.9k,569,77,850
Samsung,3.9,(8.3k),Consumer Electronics & Appliances | Noida +577 other locations,26.2k,610,29,528
Ericsson,4.0,(8.3k),Telecom | Noida +162 other locations,42.5k,462,32,998
Wells Fargo,3.7,(8.2k),Financial Services | Bangalore / Bengaluru +28 other locations,54.9k,672,63,855
Dr. Reddy's,4.0,(8.1k),Pharma | Hyderabad / Secunderabad +213 other locations,25.7k,485,15,740
Optum Global Solutions,4.0,(7.7k),IT Services & Consulting | Hyderabad / Secunderabad +68 other locations,48.2k,742,55,686
Delhivery,3.8,(7.6k),Logistics | Gurgaon / Gurugram +746 other locations,21.2k,594,159,656
ICICI Prudential Life Insurance,4.0,(7.6k),Insurance | Mumbai +504 other locations,23k,464,231,625
JPMorgan Chase & Co.,3.8,(7.5k),Financial Services | Bangalore / Bengaluru +55 other locations,84.1k,844,712,844
HGS,3.8,(7.5k),BPO | Bangalore / Bengaluru +121 other locations,20.8k,268,15,968
JSW Steel,3.9,(7.5k),Iron & Steel | Ballari +195 other locations,30.2k,776,89,600
Jana Small Finance Bank,3.8,(7.5k),Banking | Bangalore / Bengaluru +418 other locations,14.2k,300,48,623
Sun Pharmaceutical Industries,4.1,(7.4k),Pharma | Vadodara +263 other locations,23.4k,637,370,594
Amazon Development Centre India,3.8,(7.4k),Internet | Hyderabad / Secunderabad +146 other locations,38.2k,864,10,20
Hexaware Technologies,3.4,(7.4k),IT Services & Consulting | Chennai +66 other locations,52.9k,808,694,547
Ujjivan Small Finance Bank,4.0,(7.3k),Banking | Bangalore / Bengaluru +529 other locations,13.1k,306,165,579
Lupin,4.1,(7.2k),Pharma | Pune +203 other locations,22.5k,431,47,764
Zydus Lifesciences,3.9,(7.2k),Pharma | Ahmedabad +175 other locations,19.8k,405,23,605
L&T Construction,4.0,(7.2k),Engineering & Construction | Chennai +428 other locations,19k,916,--,780
Hindustan Unilever,4.2,(7.1k),FMCG | Mumbai +529 other locations,19.9k,450,22,704
Ekart Logistics,3.9,(7.1k),Logistics | Bangalore / Bengaluru +737 other locations,16k,399,--,422
KPMG India,3.4,(7k),Management Consulting | Bangalore / Bengaluru +111 other locations,64.7k,909,61,749
ITC,3.9,(7k),FMCG | Bangalore / Bengaluru +374 other locations,24k,668,81,638
Axis Max Life Insurance,4.0,(6.9k),Insurance | New Delhi +494 other locations,19.9k,392,166,495
Megha Engineering & Infrastructures,3.9,(6.7k),Engineering & Construction | Hyderabad / Secunderabad +406 other locations,18.2k,548,28,539
Tata Projects,4.2,(6.6k),Engineering & Construction | Mumbai +284 other locations,22k,570,30,540
Coforge,3.2,(6.5k),IT Services & Consulting | Noida +104 other locations,48.2k,678,104,273
FIS,3.8,(6.4k),FinTech | Pune +61 other locations,38.7k,530,144,721
Bajaj Life Insurance,3.9,(6.4k),Insurance | Pune +603 other locations,17.3k,430,60,474
L&T Technology Services,3.1,(6.4k),IT Services & Consulting | Bangalore / Bengaluru +93 other locations,42.4k,618,--,415
Cholamandalam Investment & Finance,3.8,(6.3k),Financial Services | Chennai +829 other locations,12.6k,265,12,293
IIFL Finance,4.0,(6.3k),NBFC | Mumbai +800 other locations,13.9k,314,49,433
Oracle,3.5,(6.2k),Software Product | Bangalore / Bengaluru +56 other locations,62.1k,939,1.1k,617
Indian Army,4.7,(6.2k),Defence & Aerospace | New Delhi +363 other locations,9.4k,196,--,728
Omega Healthcare,3.8,(6.2k),BPO | Chennai +69 other locations,26.2k,528,127,390
Muthoot Finance,3.7,(6.2k),NBFC | Bangalore / Bengaluru +781 other locations,13k,331,58,325
JLL,4.1,(6.1k),Real Estate | Gurgaon / Gurugram +85 other locations,24.1k,469,241,540
